date,description,amount,category,payment_method,notes
2024-01-01,Uber ride,500,Transport,credit card,
01/02/2024,mcdonalds,1200,Food,cash,
2024/01/03,starbucks,,Food,,"missing amount"
2024-01-04,  amazon prime   ,1500,SHOPPING,credit card,
2024-1-5,netflix subscription,650,entertainment,paypal,
2024/01/06,"walmart $ grocery",3400,Food, debit card,
2024-13-40,uber eats,2300,Food,credit card,invalid date
,spotify,500,Entertainment,,missing date
2024.01.09,amazon return,-1200,Shopping,credit card,negative amount
2024-01-10,    ,350,Transport,cash,empty description
2024-01-11,GAS STATION,4500,Transport,credit card,
2024/01/12,McDonald's,1800,food,cash,apostrophe
2024-01-13,uber ride #456,750,Transport,credit card,
2024-01-14,$$$ casino $$$,5000,GAMBLING,cash,special chars
2024-01-15,amazon.com,999999999,Shopping,credit card,huge outlier
2024-01-16,NETFLIX,650,ENTERTAINMENT,paypal,
15-01-2024,local train,50,transport,cash,dd-mm-yyyy
2024-01-18,zomato order,1200.00,Food,UPI,
2024-01-19,uber,500.0,Transport,credit card,
2024-01-20,    mcdonalds    ,1200   ,Food   ,   cash   ,extra spaces
2024-01-21,Starbucks Coffee,750,Food,credit card,
2024-01-22,uber ride to airport,2500,Transport,credit card,
2024-01-23,amazon prime video,650,entertainment,paypal,
2024-01-24,Whole Foods Market,5600,Food,credit card,
2024-01-25,lyft ride,850,Transport,cash,
2024-01-26,mcdonalds,1200,Food,credit card,duplicate entry
2024-01-27,Dominos Pizza,2100,Food,UPI,
2024-01-28,uber ride,500,Transport,credit card,
2024-01-29,AMAZON PRIME,650,Shopping,paypal,
2024-01-30,Target,4500,Shopping,credit card,
2024-01-31,uber eats,2800,Food,cash,
feb 1 2024,gym membership,3500,Health,fitness tracker,
2024-02-02,mcdonalds,1200,Food,credit card,
2024-02-03,starbucks,750,food,cash,
2024-02-04,uber ride,500,Transport,credit card,
2024-02-05,netflix,650,Entertainment,paypal,
2024/02/06,amazon,2300,Shopping,credit card,
2024-02-07,,450,Transport,cash,missing desc
2024-02-08,mcdonalds,1200.00,Food,credit card,
2024-02-09,uber,500,TRANSPORT,credit card,
NULL,spotify,500,Entertainment,paypal,null date
2024-02-11,uber eats,2300,Food,cash,
2024-02-12,amazon,3400,Shopping,credit card,
2024-02-13,mcdonalds,1200,Food,cash,
2024-02-14,starbucks,750,Food,credit card,
2024-02-15,uber ride to work,500,Transport,credit card,
2024-02-16,netflix subscription,650,Entertainment,paypal,
2024-02-17,uber ride,500,Transport,credit card,
2024-02-18,amazon.com,4500,Shopping,credit card,
2024-02-19,mcdonalds,1200,Food,cash,
2024-02-20,starbucks coffee,750,Food,credit card,
2024-02-21,uber ride,500,Transport,credit card,
2024-02-22,netflix,650,Entertainment,paypal,
2024-02-23,uber eats,2300,Food,cash,
2024-02-24,amazon,5600,Shopping,credit card,
2024-02-25,mcdonalds,1200,Food,cash,
2024-02-26,starbucks,750,Food,credit card,
