date,description,amount,category,payment_method,notes,date_clean
2024-01-01,Uber ride,500.0,Transport,credit card,,2024-01-01
2024-01-10,    ,350.0,Transport,cash,empty description,2024-01-10
2024-01-11,GAS STATION,4500.0,Transport,credit card,,2024-01-11
2024-01-13,uber ride #456,750.0,Transport,credit card,,2024-01-13
2024-01-18,zomato order,1200.0,Food,UPI,,2024-01-18
2024-01-19,uber,500.0,Transport,credit card,,2024-01-19
2024-01-21,Starbucks Coffee,750.0,Food,credit card,,2024-01-21
2024-01-22,uber ride to airport,2500.0,Transport,credit card,,2024-01-22
2024-01-24,Whole Foods Market,5600.0,Food,credit card,,2024-01-24
2024-01-25,lyft ride,850.0,Transport,cash,,2024-01-25
2024-01-26,mcdonalds,1200.0,Food,credit card,duplicate entry,2024-01-26
2024-01-27,Dominos Pizza,2100.0,Food,UPI,,2024-01-27
2024-01-28,uber ride,500.0,Transport,credit card,,2024-01-28
2024-01-29,AMAZON PRIME,650.0,Shopping,paypal,,2024-01-29
2024-01-30,Target,4500.0,Shopping,credit card,,2024-01-30
2024-01-31,uber eats,2800.0,Food,cash,,2024-01-31
2024-02-02,mcdonalds,1200.0,Food,credit card,,2024-02-02
2024-02-04,uber ride,500.0,Transport,credit card,,2024-02-04
2024-02-05,netflix,650.0,Entertainment,paypal,,2024-02-05
2024-02-07,,450.0,Transport,cash,missing desc,2024-02-07
2024-02-08,mcdonalds,1200.0,Food,credit card,,2024-02-08
2024-02-11,uber eats,2300.0,Food,cash,,2024-02-11
2024-02-12,amazon,3400.0,Shopping,credit card,,2024-02-12
2024-02-13,mcdonalds,1200.0,Food,cash,,2024-02-13
2024-02-14,starbucks,750.0,Food,credit card,,2024-02-14
2024-02-15,uber ride to work,500.0,Transport,credit card,,2024-02-15
2024-02-16,netflix subscription,650.0,Entertainment,paypal,,2024-02-16
2024-02-17,uber ride,500.0,Transport,credit card,,2024-02-17
2024-02-18,amazon.com,4500.0,Shopping,credit card,,2024-02-18
2024-02-19,mcdonalds,1200.0,Food,cash,,2024-02-19
2024-02-20,starbucks coffee,750.0,Food,credit card,,2024-02-20
2024-02-21,uber ride,500.0,Transport,credit card,,2024-02-21
2024-02-22,netflix,650.0,Entertainment,paypal,,2024-02-22
2024-02-23,uber eats,2300.0,Food,cash,,2024-02-23
2024-02-24,amazon,5600.0,Shopping,credit card,,2024-02-24
2024-02-25,mcdonalds,1200.0,Food,cash,,2024-02-25
2024-02-26,starbucks,750.0,Food,credit card,,2024-02-26
2024-02-27,uber ride,500.0,Transport,credit card,,2024-02-27
2024-02-28,netflix,650.0,Entertainment,paypal,,2024-02-28
2024-02-29,uber eats,2300.0,Food,cash,leap year,2024-02-29
2024-03-01,amazon,3400.0,Shopping,credit card,,2024-03-01
2024-03-02,mcdonalds,1200.0,Food,cash,,2024-03-02
2024-03-04,uber ride,500.0,Transport,credit card,,2024-03-04
2024-03-05,netflix,650.0,Entertainment,paypal,,2024-03-05
2024-03-06,uber eats,2300.0,Food,cash,,2024-03-06
2024-03-07,amazon,4500.0,Shopping,credit card,,2024-03-07
2024-03-08,mcdonalds,1200.0,Food,cash,,2024-03-08
2024-03-09,starbucks,750.0,Food,credit card,,2024-03-09
2024-03-10,uber ride,500.0,Transport,credit card,,2024-03-10
2024-03-11,netflix,650.0,Entertainment,paypal,,2024-03-11
2024-03-12,uber eats,2300.0,Food,cash,,2024-03-12
2024-03-13,amazon,5600.0,Shopping,credit card,,2024-03-13
2024-03-14,mcdonalds,1200.0,Food,cash,,2024-03-14
2024-03-15,starbucks,750.0,Food,credit card,,2024-03-15
